,Inertia,Inertia,Inertia,Instability,Instability,Instability,Variability,Variability,Variability
Window,0,1,2,0,1,2,0,1,2
Participant,,,,,,,,,
0,-0.006799039532784245,0.021047701419547343,,0.5622488408037094,0.6241885625965997,,24.325250153782616,38.34930912135503,
1,-0.16144486388458634,-0.1906377360571913,0.3274855410081067,1.0798776992165107,0.9835164835164835,1.7727663640707119,39.644436193872366,46.21012262443108,54.53471208616517
2,-0.005487536497967862,,,0.7613330772185939,,,42.022961469318446,,
3,-0.316141020935328,0.20925297807653628,,0.5089170605930382,0.9203556462877404,,31.515650019496253,45.938774217656686,
4,-0.12379632814068105,-0.1954374852659173,,0.9693255687973997,1.1437923250564335,,35.957224307471286,40.5421630923684,
5,0.156958513628004,,,0.8080342110579837,,,29.005620054177353,,
6,-0.018454442066995983,0.3433441391184846,0.06610561723867019,1.0328879310344827,0.7318534482758621,1.1909216311751012,40.08373343313308,51.044400198725164,51.15426112759432
7,-0.0691987797431909,,,0.9522682099848007,,,29.056105132599107,,
8,0.662469790489194,0.399668677539853,,0.6510107015457788,1.380610879904875,,39.61684600112033,55.57859571781521,
9,-0.058014828943390356,,,0.7969316189362946,,,42.7227264778434,,
10,-0.012168653552201406,-0.08687957121167635,0.13351829663505993,0.5522169093675288,0.6624646815909585,1.1389522877948048,40.23185046815425,36.72857386906532,46.55892086443174
