Inertia,Inertia,Instability,Instability,Variability,Variability,p_number,p_number
feeltrace,interview,feeltrace,interview,feeltrace,interview,feeltrace,interview
,-0.3038545844350636,,1.0911015161338904,,1.2397671864122568,,10
,-0.14111024094284388,,0.6975426791425671,,0.7739633967201087,,12
,0.4956559077196347,,1.2099011713883925,,1.6909160057928372,,13
,-1.2866610150230562,,-0.892967324354488,,-1.5413830733029292,,15
,2.0622279565813404,,-0.5299512633859534,,0.471129544011334,,17
,1.778743615581172,,-1.1110726970341576,,-0.5444763166324182,,19
,0.788972460662467,,-1.0646092699955054,,-0.9030450412677922,,2
,-0.3248680756394337,,-0.2582721590076533,,-0.3454873074964903,,20
,-0.4727691793651895,,-0.5422982455003619,,-0.6670252372371724,,22
,0.2300038964058004,,-0.2574144628382657,,-0.16847043295111208,,23
,-0.1032450333775109,,-0.35951485309110337,,-0.4714703800585581,,4
,-1.447203057780899,,1.8374483507245272,,1.2260841889804663,,5
,0.10948191995051464,,-0.6332124511292093,,-0.6162827583990126,,6
,-0.5641666110824226,,1.3513853019969575,,1.20574247961699,,7
,0.7711169923320048,,-1.5157241758769417,,-1.731375895388308,,8
,-1.5923249515865154,,0.9776578828273054,,0.3814136411998014,,9
-0.5276118996242181,,-1.0978533710565082,,-0.9506849206722476,,10,
0.18776872245319437,,0.9305140513538406,,1.480286679513512,,12,
0.0850946361958218,,-0.036975440082787414,,-0.09129500862454464,,13,
-0.07126750980856499,,3.0340939116721097,,0.2797217884734818,,15,
-0.6759982807328062,,-0.6003820435479436,,0.4550971805799818,,17,
-0.5621690578815896,,1.0393134527086336,,0.1077119192447342,,19,
-0.20233775644176297,,-0.738682938944718,,0.09680183649162051,,2,
1.2361983592886272,,-0.12396895594360074,,-0.8279486358755159,,20,
-1.5261990691661416,,0.27319026742433156,,-0.06417439143781563,,22,
0.3790559487270404,,-0.4621746640044196,,-1.4365661601904895,,23,
0.8623047055318449,,0.062007042286143274,,1.4602354652438259,,4,
-1.0897899155425879,,-0.035328431505767824,,-1.4292297334147983,,5,
2.797121149744357,,0.15260784153968057,,1.4237472451290578,,6,
-1.0171524178364257,,-0.4950316856038607,,0.5567861331521955,,7,
-0.11277890880774888,,-0.5317887599884452,,0.645036927600042,,8,
0.23776129390095926,,-1.369540276306684,,-1.7055263252130382,,9,
