,Inertia,Inertia,Inertia,Inertia,Inertia,Inertia,Inertia,Inertia,Inertia,Inertia,Inertia,Instability,Instability,Instability,Instability,Instability,Instability,Instability,Instability,Instability,Instability,Instability,Variability,Variability,Variability,Variability,Variability,Variability,Variability,Variability,Variability,Variability,Variability
Participant,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10
Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.006799039532784245,-0.16144486388458634,-0.005487536497967862,-0.316141020935328,-0.12379632814068105,0.156958513628004,-0.018454442066995983,-0.0691987797431909,0.662469790489194,-0.058014828943390356,-0.012168653552201406,0.5622488408037094,1.0798776992165107,0.7613330772185939,0.5089170605930382,0.9693255687973997,0.8080342110579837,1.0328879310344827,0.9522682099848007,0.6510107015457788,0.7969316189362946,0.5522169093675288,24.325250153782616,39.644436193872366,42.022961469318446,31.515650019496253,35.957224307471286,29.005620054177353,40.08373343313308,29.056105132599107,39.61684600112033,42.7227264778434,40.23185046815425
1,0.021047701419547343,-0.1906377360571913,,0.20925297807653628,-0.1954374852659173,,0.3433441391184846,,0.399668677539853,,-0.08687957121167635,0.6241885625965997,0.9835164835164835,,0.9203556462877404,1.1437923250564335,,0.7318534482758621,,1.380610879904875,,0.6624646815909585,38.34930912135503,46.21012262443108,,45.938774217656686,40.5421630923684,,51.044400198725164,,55.57859571781521,,36.72857386906532
2,,0.3274855410081067,,,,,0.06610561723867019,,,,0.13351829663505993,,1.7727663640707119,,,,,1.1909216311751012,,,,1.1389522877948048,,54.53471208616517,,,,,51.15426112759432,,,,46.55892086443174
