,Inertia,Instability,Variability,Participant,Window
0,-0.006799039532784245,0.5622488408037094,24.325250153782616,0,0
1,0.021047701419547343,0.6241885625965997,38.34930912135503,0,1
2,-0.16144486388458634,1.0798776992165107,39.644436193872366,1,0
3,-0.1906377360571913,0.9835164835164835,46.21012262443108,1,1
4,0.3274855410081067,1.7727663640707119,54.53471208616517,1,2
5,-0.005487536497967862,0.7613330772185939,42.022961469318446,2,0
6,-0.316141020935328,0.5089170605930382,31.515650019496253,3,0
7,0.20925297807653628,0.9203556462877404,45.938774217656686,3,1
8,-0.12379632814068105,0.9693255687973997,35.957224307471286,4,0
9,-0.1954374852659173,1.1437923250564335,40.5421630923684,4,1
10,0.156958513628004,0.8080342110579837,29.005620054177353,5,0
11,-0.018454442066995983,1.0328879310344827,40.08373343313308,6,0
12,0.3433441391184846,0.7318534482758621,51.044400198725164,6,1
13,0.06610561723867019,1.1909216311751012,51.15426112759432,6,2
14,-0.0691987797431909,0.9522682099848007,29.056105132599107,7,0
15,0.662469790489194,0.6510107015457788,39.61684600112033,8,0
16,0.399668677539853,1.380610879904875,55.57859571781521,8,1
17,-0.058014828943390356,0.7969316189362946,42.7227264778434,9,0
18,-0.012168653552201406,0.5522169093675288,40.23185046815425,10,0
19,-0.08687957121167635,0.6624646815909585,36.72857386906532,10,1
20,0.13351829663505993,1.1389522877948048,46.55892086443174,10,2
